id;V25_R;V10;V40;V55;V11;V26_R;V41;V56_R;V12_R;V27;V42_R;V57;V4;V19;V49;V34;V5;V50;V20;V35;V6;V36;V21;V51;V13_R;V28_R;V43_R;V58_R;V14_R;V29_R;V44_R;V59_R;V30_R;V45_R;V60_R;V15_R;V8;V23;V38_R;V53;V9_R;V24;V39_R;V54_R;V7;V22;V37_R;V52_R;V2;V17;V32_R;V47;V3;V18_R;V33;V48;V1;V46_R;V31_R;V16
98;4;4;4;4;4;1;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;3;3;3;4;3;3;4;3;4;4;4;4;4;4;3;4
99;3;3;3;3;3;3;3;4;3;3;3;3;2;4;2;4;3;4;2;3;3;3;3;3;3;3;2;3;3;1;4;3;4;3;3;3;4;3;3;3;2;3;2;2;3;2;2;2;4;3;3;3;3;2;3;4;2;4;3;3
100;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;2;2;3
101;3;3;3;4;4;3;4;3;4;3;3;2;3;3;2;3;3;3;2;3;2;3;3;3;2;3;3;3;4;2;4;3;4;2;3;3;4;2;3;3;2;3;3;4;4;3;3;3;2;1;2;2;2;3;2;2;3;2;2;3
102;3;4;3;4;3;2;4;3;3;4;3;3;2;3;3;4;4;4;4;4;3;3;4;4;3;3;1;4;4;4;4;4;4;3;4;4;4;2;2;3;2;4;2;2;4;3;3;4;4;2;4;3;4;2;4;4;2;3;4;3
103;3;4;2;4;4;3;2;4;4;4;4;4;3;3;4;4;3;4;2;3;4;3;3;3;2;2;2;2;3;2;3;4;2;3;2;2;3;3;2;2;2;3;3;4;3;3;2;2;2;3;3;4;3;3;3;2;3;3;3;3
104;4;3;3;4;4;3;4;3;4;4;3;4;2;3;2;4;3;4;2;3;3;3;3;4;1;1;2;1;3;1;4;2;3;3;2;2;2;4;3;3;2;3;2;3;3;3;1;3;3;3;1;2;3;3;2;2;3;1;2;3
105;3;3;3;3;3;3;3;3;3;3;2;2;3;3;2;3;3;3;2;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;2;3;3;3;3;3;2;2;2;2;2;2;3;2;3;2;2;3;3;2;3;3;3;2;2;3
106;3;3;3;3;3;3;3;3;3;3;2;3;2;3;4;4;2;3;3;3;3;3;3;3;3;3;2;3;2;1;3;2;3;2;3;2;2;3;1;3;2;2;3;3;3;3;2;3;3;3;3;2;2;4;4;3;2;2;3;3
107;2;3;3;3;3;2;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;3;2;3;2;2;3;3;2;2;3;3;2;3;3;2;3;3;3;2;2;3
